total,pde,data,ic,bc,amplitude,lr
0.026927337050437927,788086.1875,0.0002616011770442128,0.0007223702850751579,0.0007640728144906461,0.002399785676971078,0.001
0.02773580141365528,744336.3125,0.000269781012320891,0.0006983457715250552,0.0007692883373238146,0.002388239372521639,0.001
0.026194121688604355,741638.25,0.0002544909075368196,0.0007022871868684888,0.0007400317117571831,0.00238704401999712,0.001
0.02669662795960903,756707.8125,0.00025946099776774645,0.0007035766029730439,0.0007479690248146653,0.002475678687915206,0.001
0.026991087943315506,734522.125,0.00026234739925712347,0.0006818178226239979,0.0007829443202354014,0.0023966021835803986,0.001
0.026221102103590965,753447.4375,0.00025498424656689167,0.0006943295593373477,0.0007021492347121239,0.0024438395630568266,0.001
0.026807067915797234,728995.25,0.00026076979702338576,0.0006693525356240571,0.0007420710171572864,0.002437676303088665,0.001
0.026771515607833862,735449.1875,0.00026053545298054814,0.0006698944489471614,0.0007182604167610407,0.0023892836179584265,0.001
0.025504741817712784,784072.0,0.000247528194449842,0.000701884098816663,0.0007529765134677291,0.0024490635842084885,0.001
0.025292091071605682,730407.1875,0.0002455056528560817,0.0007080541108734906,0.0007271785289049149,0.002390909241512418,0.001
0.026228642091155052,716985.625,0.0002548738557379693,0.0006770655163563788,0.000757085916120559,0.0024181012995541096,0.001
0.025382429361343384,737867.375,0.00024646782549098134,0.0006996305892243981,0.0007240631384775043,0.002379956189543009,0.001
0.027032865211367607,692132.5625,0.0002629906521178782,0.0006991332629695535,0.0007194038480520248,0.0024533115793019533,0.001
0.024833716452121735,664478.5625,0.00024126707285176963,0.0006552934646606445,0.0007115342887118459,0.00235951179638505,0.001
0.024488937109708786,743803.375,0.0002379037468926981,0.0006919506704434752,0.0006578402826562524,0.002366595435887575,0.001
0.024243254214525223,756993.0,0.00023547295131720603,0.0006356684025377035,0.0007066357065923512,0.00248073716647923,0.001
0.0242435522377491,677177.25,0.0002355992910452187,0.0005928840837441385,0.0007271667127497494,0.0023598221596330404,0.001
0.024920998141169548,700972.8125,0.0002422858087811619,0.000632740615401417,0.0007041852222755551,0.0023955691140145063,0.001
0.024826567620038986,760860.8125,0.00024125559139065444,0.0006634054589085281,0.0006908848299644887,0.002386147389188409,0.001
0.02468627691268921,732798.625,0.00023984523431863636,0.0006262716487981379,0.0007295243558473885,0.002385485451668501,0.001
0.024092815816402435,657662.0,0.00023407013213727623,0.000610785442404449,0.0007136022904887795,0.00236087990924716,0.001
0.023990806192159653,731382.4375,0.00023275238345377147,0.0006749244057573378,0.0007084884564392269,0.0023862943053245544,0.001
0.024420395493507385,704004.25,0.00023709981178399175,0.0006776441005058587,0.0006946054054424167,0.002428965177386999,0.001
0.02341623604297638,709300.375,0.0002269618707941845,0.0006853377562947571,0.0007078248308971524,0.002346811816096306,0.001
0.024938013404607773,766318.0,0.00024282750382553786,0.0006274674669839442,0.0006347287562675774,0.0024164437782019377,0.001
0.024767396971583366,726606.0,0.00024086031771730632,0.0006374035147018731,0.0006775796646252275,0.002387390239164233,0.001
